[2025-09-25 05:33:44] Repository root: C:\Users\Werem\OneDrive\Documents\StateTrace
[2025-09-25 05:33:44] PowerShell version: 5.1.26100.6584
[2025-09-25 05:33:44] Log file: C:\Users\Werem\OneDrive\Documents\StateTrace\Logs\RefactorValidation\MainWindowSmokeTest_20250925_053344.log
[2025-09-25 05:33:44] Loaded PresentationFramework assembly.
[2025-09-25 05:33:44] Loaded module manifest.
[2025-09-25 05:33:44] Imported module: ThemeModule.psm1
[2025-09-25 05:33:44] Imported module: ParserWorker.psm1
[2025-09-25 05:33:44] Imported module: DatabaseModule.psm1
[2025-09-25 05:33:44] Imported module: DeviceRepositoryModule.psm1
[2025-09-25 05:33:44] Imported module: DeviceCatalogModule.psm1
[2025-09-25 05:33:44] Imported module: FilterStateModule.psm1
[2025-09-25 05:33:44] Imported module: DeviceDetailsModule.psm1
[2025-09-25 05:33:44] Imported module: DeviceInsightsModule.psm1
[2025-09-25 05:33:44] Imported module: AristaModule.psm1
[2025-09-25 05:33:44] Imported module: BrocadeModule.psm1
[2025-09-25 05:33:44] Imported module: CiscoModule.psm1
[2025-09-25 05:33:44] Imported module: InterfaceModule.psm1
[2025-09-25 05:33:44] Imported module: SpanViewModule.psm1
[2025-09-25 05:33:44] Imported module: SearchInterfacesViewModule.psm1
[2025-09-25 05:33:44] Imported module: SummaryViewModule.psm1
[2025-09-25 05:33:44] Imported module: TemplatesViewModule.psm1
[2025-09-25 05:33:44] Imported module: AlertsViewModule.psm1
[2025-09-25 05:33:44] Imported module: CompareViewModule.psm1
[2025-09-25 05:33:44] Imported module: TemplatesModule.psm1
[2025-09-25 05:33:44] Verified command: DeviceRepositoryModule\Get-SiteFromHostname
[2025-09-25 05:33:44] Verified command: DeviceRepositoryModule\Update-GlobalInterfaceList
[2025-09-25 05:33:44] Verified command: DeviceCatalogModule\Get-DeviceSummaries
[2025-09-25 05:33:44] Verified command: FilterStateModule\Initialize-DeviceFilters
[2025-09-25 05:33:44] Verified command: FilterStateModule\Update-DeviceFilter
[2025-09-25 05:33:44] Verified command: DeviceDetailsModule\Get-DeviceDetails
[2025-09-25 05:33:44] Verified command: DeviceInsightsModule\Update-SearchResults
[2025-09-25 05:33:44] Verified command: DeviceInsightsModule\Update-Summary
[2025-09-25 05:33:44] Verified command: DeviceInsightsModule\Update-Alerts
[2025-09-25 05:33:44] Verified command: TemplatesModule\Get-ConfigurationTemplates
[2025-09-25 05:33:44] Verified command: InterfaceModule\Set-InterfaceViewData
[2025-09-25 05:33:44] Verified command: ParserWorker\Invoke-StateTraceParsing
[2025-09-25 05:33:44] Parsed MainWindow.ps1 successfully.
[2025-09-25 05:33:44] Validated MainWindow.xaml XML structure.
[2025-09-25 05:33:44] Smoke test completed with 0 error(s).
